timestamp_gatillo,event_type,ATR_14,RSI_14,Slope_50,Rejection_Power,BB_Position,Target_1x,Target_2x,Target_3x,Target_5x,Target_10x,Target_15x,Target_20x
2025-05-09 07:00:00,short,49.80627438282052,76.54236389318635,12.495730903396607,0.40267412303230243,0.8232816487416889,1,1,1,0,0,0,0
2025-05-09 13:00:00,short,50.635957016178565,66.8947548062954,13.559889644172246,0.0,0.7312727916161749,1,1,1,0,0,0,0
2025-05-10 20:00:00,short,42.54882753611771,69.94546391079574,5.933479533319417,0.37284397369941485,0.8243364166479064,1,1,1,1,1,0,0
2025-05-10 21:00:00,short,42.35867261403788,65.57957079794896,5.91787104165792,0.42994542224737925,0.7376048121827509,1,1,1,1,0,0,0
2025-06-10 05:00:00,short,20.9575213838592,72.4906818171237,4.228001853731303,0.008727604515698201,0.7183623189090181,1,1,1,1,1,1,1
2025-06-10 10:00:00,short,28.395893988416514,68.99511417570658,5.431790985993442,0.442239243464176,0.7618734539957236,1,1,1,1,1,1,1
2025-06-10 11:00:00,short,30.277325556758175,67.66005678345883,5.589075995041848,0.33831692208232395,0.7296539527771956,1,1,1,1,1,1,1
2025-06-10 14:00:00,short,28.843533183527352,71.46060424443672,6.051126818744043,0.09758284897668172,0.8534599249945982,1,1,1,1,1,1,1
2025-06-10 20:00:00,short,31.901050106056168,70.68181745092033,7.11033749187785,0.4886636162310478,0.8099615800933915,1,1,1,1,1,1,1
2025-06-10 21:00:00,short,30.941335925695004,66.60512160589867,7.146240759654738,0.3427832031942704,0.7267075383018714,1,1,1,1,1,1,1
2025-06-10 22:00:00,short,30.71867512545251,65.46909078479442,7.136047476283648,0.6827125040528635,0.6889805365525936,1,1,1,1,1,1,1
2025-06-11 01:00:00,short,27.461046947306347,67.90245244619109,6.976104817991463,0.330827443414027,0.7391590438782564,1,1,1,1,1,1,1
2025-06-11 02:00:00,short,26.64008441384875,66.37018960198472,6.837225816202945,0.257948448869711,0.7019752271516647,1,1,1,1,1,1,1
2025-07-03 02:00:00,short,19.583600669778143,71.21640580895175,3.6752458034487923,0.059110431695453935,0.7264897917488756,1,1,1,1,0,0,0
2025-07-03 06:00:00,short,19.064974107120594,68.11810393848239,4.496779044093795,0.21413477080073176,0.7027016963598145,1,1,1,1,0,0,0
2025-07-09 19:00:00,short,24.46436231368755,73.96361645977213,4.058453178110482,0.3357865088682412,0.9254886765518525,0,0,0,0,0,0,0
2025-07-09 21:00:00,short,23.633681044389274,72.65746238487112,4.402529912187257,0.012289477765604327,0.8692818191981723,0,0,0,0,0,0,0
2025-07-09 22:00:00,short,23.47759719843288,73.38633013543723,4.580822608780239,0.08081652941262107,0.8499810529467169,0,0,0,0,0,0,0
2025-07-10 00:00:00,short,22.303524022098255,71.44734171452323,4.774665677179194,0.5775323339485056,0.7761439079295219,0,0,0,0,0,0,0
2025-07-10 03:00:00,short,21.7410190842249,72.50857589781212,5.0991005701416,0.8076780908037859,0.7600006599914727,1,0,0,0,0,0,0
2025-07-10 04:00:00,short,21.094603959301697,70.95250752106892,5.189221054249758,0.46360123817574006,0.7213682985208786,1,0,0,0,0,0,0
2025-07-10 06:00:00,short,19.99135399158208,67.99927344979794,5.231645764577873,0.13096701687841597,0.6740752668535207,1,0,0,0,0,0,0
2025-07-11 00:00:00,short,28.597453606187706,75.45325667605564,7.174568651631562,0.833402800098701,0.8192116264741248,1,1,0,0,0,0,0
2025-07-11 03:00:00,short,30.452487680073112,70.24297634053119,7.48219065010668,0.3684208469051504,0.7374729124285051,1,1,0,0,0,0,0
2025-07-11 04:00:00,short,30.985813201810746,73.23046628535451,7.596466381793805,0.06768530498498146,0.7835220434851655,1,1,1,0,0,0,0
2025-07-11 05:00:00,short,31.549511973552825,74.6216105013868,7.6911515240794195,0.08170041703103259,0.7933647330715432,1,1,1,0,0,0,0
2025-07-11 08:00:00,short,30.172789432568862,65.99334701320404,7.503128143847747,0.5751790994644577,0.6484988138069782,1,1,0,0,0,0,0
2025-07-11 09:00:00,short,30.214498647463945,68.93418620715514,7.437945970238614,0.1282857964418127,0.7062590864021558,1,1,1,0,0,0,0
2025-07-16 18:00:00,short,37.6975008463078,77.28065931618742,7.963621364468154,0.4910086572039435,0.8455473363700716,1,1,1,1,0,0,0
2025-07-16 19:00:00,short,36.74028616110008,78.35134565024872,8.346895689477051,0.21844154950729286,0.8420358071380097,1,1,1,1,0,0,0
2025-07-16 20:00:00,short,36.06688468927152,79.48219082501127,8.7285268456641,0.027423824991089068,0.8412034972413336,1,1,1,1,1,0,0
2025-07-17 07:00:00,short,37.66153795364164,67.39001265241333,9.97985514204474,0.06341263855841968,0.7671727307275263,1,1,1,1,1,0,0
2025-07-18 02:00:00,short,44.37884249504449,75.34086707036526,8.919413838861598,0.24951786113014846,0.9294810190917492,1,1,1,1,1,0,0
